name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;154;0;270;3091;1058;3091;1081;0
header;118;165;118;203;1746;203;1746;165
A;921;233;921;260;940;260;940;233
A;557;804;557;828;571;828;571;804
B;924;858;924;887;946;887;946;858
D;593;945;593;970;622;970;622;945
A;575;1130;575;1155;589;1155;589;1130
C;927;1532;927;1561;949;1561;949;1532
D;570;1546;570;1570;599;1570;599;1546
D;439;1957;439;1985;460;1985;460;1957
D;935;2198;935;2225;955;2225;955;2198
A;1015;2973;1015;2977;1019;2977;1019;2973
A;978;2999;978;3000;978;3000;978;2999
