name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;659;0;613;3099;1787;3099;1811;0
header;185;152;185;195;1813;195;1813;152
A;862;193;862;194;864;194;864;193
A;986;219;986;246;1006;246;1006;219
A;1395;273;1395;279;1401;279;1401;273
D;814;362;814;379;823;379;823;362
A;1076;549;1076;555;1082;555;1082;549
A;1793;587;1793;604;1803;604;1803;587
D;737;680;737;696;745;696;745;680
D;1166;856;1166;872;1175;872;1175;856
A;1516;857;1516;873;1525;873;1525;857
B;1464;1039;1464;1055;1473;1055;1473;1039
A;1793;1039;1793;1046;1801;1046;1801;1039
A;1610;1175;1610;1192;1619;1192;1619;1175
B;1391;1176;1391;1193;1401;1193;1401;1176
B;636;1283;636;1300;645;1300;645;1283
D;935;1415;935;1443;968;1443;968;1415
B;897;1425;897;1441;906;1441;906;1425
A;1789;1456;1789;1461;1795;1461;1795;1456
A;1596;1458;1596;1473;1605;1473;1605;1458
B;750;1520;750;1536;759;1536;759;1520
B;710;1564;710;1583;724;1583;724;1564
A;1488;1776;1488;1783;1495;1783;1495;1776
A;1528;1965;1528;1973;1535;1973;1535;1965
B;1486;2149;1486;2157;1494;2157;1494;2149
A;1113;2380;1113;2387;1119;2387;1119;2380
A;1783;2381;1783;2388;1790;2388;1790;2381
A;1640;2565;1640;2573;1647;2573;1647;2565
A;1097;2657;1097;2665;1104;2665;1104;2657
